domain,context,response,act,speaker
hotel,"Agent: Do you need it to have free parking? <SEP> User: No, you can just pick whatever you would recommend. Can you book a room for 6 people starting on Saturday for 4 nights? <SEP> Agent: Ok, let's book The Lensfield Hotel for you Saturday for 6 people for 4 nights.",Great. Can I have the reference number for that reservation?,Hotel-Request,0
hotel,"User: No, that's fine! <SEP> Agent: Sure. Is there anything else I can help you with today? <SEP> User: No, that is all I need. Thank you.",Thank you for using our services & have a good day.,general-bye,1
hotel,Agent: none in our list. can you change location? <SEP> User: Are there any 4 star hotels or guesthouses with free parking and wifi in a different price range? <SEP> Agent: the university arms hotel is located on regent street and is expensive.,"Okay. That will work. I'll need to book it for Thursday, 3 nights, and 7 people.",Hotel-Inform,0
hotel,"User: Yes, what about 2 nights instead of 4? <SEP> Agent: Sure, that worked. You have booked 2 nights and your reference number is RU89U6V8 . Can I be of further help today? <SEP> User: No, that looks like everything. Thanks. Bye.",You're welcome. Enjoy your stay!,general-bye,1
hotel,"User: As long as my reservation is for 2 people, we are set. Thank you! <SEP> Agent: Okay great. Glad I could be of help. Enjoy your stay. <SEP> User: Thank you so much. I'm sure I will.",Have a great day! Good-Bye.,general-bye,1
hotel,"Agent: I have you booked into the Finches Bed and Breakfast. Your reference number is C12WFP62 . Is there anything else I can do for your today? <SEP> User: No, thank you. That's all I need. <SEP> Agent: Thank you. Don't hesitate to call again and enjoy your stay.",Thank you and have a great day.,general-thank,0
hotel,"Agent: Yes, Archway House offers free parking. May I help with something else? <SEP> User: Great, thanks. That is all I needed. <SEP> Agent: Should I book that for you?","No, I can book myself later. Thanks. Good bye.",general-bye,0
hotel,"Agent: I have 11 hotels that would meet your criteria. Did you have a certain area that you would like to stay in? <SEP> User: No, but I would like to have free wifi. <SEP> Agent: There are several that meet your criteria. Do you need free parking?",That does not matter. Which one would you recommend?,Hotel-Request,0
hotel,"User: thanks for helping <SEP> Agent: Do you need me to book you a reservation? <SEP> User: No, I think I will wait on booking at this time. Thank you for your assistance.","No problem, thank you for using Cambridge TownInfo centre. Have a great day!",general-greet,1
hotel,"User: I would like to book at room at alexander bed and breakfast <SEP> Agent: Sure thing, just tell me what day you're arriving, how many days you're staying, and how many people are in your party, and I'd be happy to set that up.","Actually I just need a bit of information. What is the price range, star rating, and phone number?",Hotel-Request,0
hotel,User: I'm looking to book a place to stay while in town. I want the hotel to be fairly expensive and near the centre. Can you give some suggestions? <SEP> Agent: I have 2 wonderful hotels in that area. Both offer free internet and parking. I have the Gonville Hotel and the University Arms Hotel. How do these sound? <SEP> User: Is one of them a guesthouse?,"No, they are both hotel types.",Hotel-Inform,1
hotel,Agent: I have one hotel and 3 guesthouses in the south. What price range are you interested in? <SEP> User: It would be great if it was an expensive hotel with a 3 star rating. <SEP> Agent: The lensfield hotel meets all those criteria. Would you like me to book it for you?,"Yes, please, We need it for 2 nights starting on Tuesday for 3 people.",Hotel-Inform,0
hotel,User: I want to find a 4 star hotel with a moderate price. <SEP> Agent: There are 11 different hotels to choose from. What part of town would you like to stay in? <SEP> User: I prefer a hotel near the main street. I want a hotel that includes free wifi,Do you mean in the center of town?,Hotel-Request,1
hotel,User: I am looking for a particular hotel. Its name is called kirkwood house <SEP> Agent: Kirkwood house is located in the north and is moderately priced. Want me to book you a room? <SEP> User: Please book a room for 3 people for 3 nights starting on Wednesday. Can I have a reference number?,Your booking was successful. Reference number is : VHYO8IC0 .,Booking-Book,1
hotel,User: I would like to know more about Rosa's b&b,"Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.",Hotel-Inform,1
hotel,Agent: I have two options for you. Both offer free wifi and parking. The El Shaddai has no star rating or the Alexander B & B has a 4-star rating. <SEP> User: I'll take the El Shaddai please. <SEP> Agent: Sure thing. Do you want me to book it for you?,"Yes. I want to book it for 2 nights, 5 people starting on Friday.",Hotel-Inform,0
hotel,"Agent: Sure, there are quite a few hotels that offer parking. Any particular area or price range you looking for? <SEP> User: I am looking for one in the expensive price range <SEP> Agent: The Huntingdon Marriott Hotel I believe would be fine. Thank you.","Is the huntingdon marriott a hotel with free parking, expensive and a 0 star.If so, that would be great.",Hotel-Inform,0
hotel,"Agent: There are 18 moderately priced places to stay. Is there an area you'd like to stay in? <SEP> User: Yeah, I'd like to stay in the center of town. Oh and I'll need free wifi! Thanks. <SEP> Agent: Okay I have one option for you called Cityroomz. Would you like me to book it for you?","Yeah, you can go ahead and book it for 2 people. I'll be staying for 3 nights starting on Thursday.",Hotel-Inform,0
hotel,"Agent: We have 9 options, including home from home guesthouse in the north. Shall I book it for you? <SEP> User: That sounds good. Yes, please book it for 2 nights starting on Tuesday. <SEP> Agent: Of course, how many people will there be?",3 people only.,Hotel-Inform,0
hotel,User: I am looking for information in Cambridge,Certainly. What can I help you with today?,general-reqmore,1
hotel,Agent: I have two options in the moderate price range. The Ashley House and Lovell Lodge. Would you like to try one of these? <SEP> User: Lets try the Ashley House please. <SEP> Agent: When will your stay be?,We'll arrive on Wednesday and stay 3 nights. There will be 2 of us.,Hotel-Inform,0
hotel,"Agent: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw. <SEP> User: Thank you. Can you book it for me? <SEP> Agent: Of course. When would you like to stay?",I would like to check in on Saturday for 2 nights. There will be 4 of us.,Hotel-Inform,0
hotel,"Agent: It is in the moderate price range. Would that work for you? <SEP> User: yes, please attempt to book that one for me. <SEP> Agent: Great! I was able to book that for you and your reference number is TXV8RUST . Is there anything else I can do for you?",Okay great. No that will be it.,general-thank,0
hotel,"Agent: home from home is moderately priced, has 4 stars, and has free internet and parking. Would you like to book? <SEP> User: Yes, eight people starting Thursday lasting for four nights. <SEP> Agent: The booking was successful. Your reference number is K73WLZ8H . Do you need anything else?",That should do it. Thank you!,general-thank,0
hotel,"User: I am looking for a place to stay, I'd prefer a hotel. <SEP> Agent: We have 9 hotels in town, do you have a side of town you'd like to stay on?","No, but I'd prefer a hotel in the expensive price range. I do not need free parking.",Hotel-Inform,0
hotel,"Agent: Do you have a price range or area preference? Because if not, how about a and b guest house located in the east and moderately priced. <SEP> User: The hotel should have a star of 4 and should include free parking. <SEP> Agent: The Alexander bed and breakfast is a great place. Do you need a reservation?","yes, please. 6 people for 3 nights starting on thursday.",Hotel-Inform,0
hotel,"User: I'm looking for a hotel in the west, internet is optional. <SEP> Agent: Are you looking for it to be cheap or expensive?",I am looking for it to be cheap.,Hotel-Inform,0
hotel,Agent: There is 1 guesthouse and 1 hotel in the cheap price range. Which would you prefer? <SEP> User: I would like a hotel that offers free parking. <SEP> Agent: The Cambridge Belfry meets that criteria. Would like to me to help you book a reservation?,"Yes, I've got a group of six and we want to stay for three nights starting on Friday.",Hotel-Inform,0
hotel,"User: Are there any that include free parking and that are in the expensive price range? <SEP> Agent: Sorry, my search didn't bring back any results. <SEP> User: Try changing from no internet to free wifi and see what happens.",There are two hotels that fir your description in the expensive price range. One is in the west and one is in the centre. Which would you prefer?,Hotel-Inform,1
hotel,"User: Do you think you might be able to recommend a nice guesthouse? <SEP> Agent: I sure can! First of all, is there a price range you would like to stay within? <SEP> User: Something cheap, but 4 star quality.",How about the allenbell located at 517a coldham lane that is the cheap price range?,Hotel-Inform,1
hotel,Agent: Your booking was unsuccessful. Could you book another day or a shorter stay? <SEP> User: Let's try for Friday instead. And I need the reference number please. <SEP> Agent: Your booking was successful and your Reference number is : 0DW45IKS,"Great, that's settled. Thank you for the assistance. Goodbye.",general-bye,0
hotel,"Agent: I would recommend acorn guest house in the north area or a and b guest house in the east area. Which would you prefer? <SEP> User: Acorn, please. Could you book that? <SEP> Agent: The reservation was successful, your reference number is K6CPBLHM","Thank you. That should be it, thank you for your time.",general-thank,0
hotel,Agent: I have found 14 different guesthouses for you. What area are you interested in? and will you be needing parking? <SEP> User: I need a guesthouse in the moderate price range with free wifi. Please let me know whether they have free parking. <SEP> Agent: The Avalon is a guesthouse at 62 gilbert road with free wifi but no parking. Would you like to book them or keep looking?,can you tell me what area that's in?,Hotel-Request,0
hotel,"User: Hi, can you help me find a place to stay? I'd like a hotel on the north side, please. <SEP> Agent: The Acorn Guest House is a 4-star guesthouse in the North. It has free parking and wifi, and is in the moderate price range. Would you like a room?","That sounds like what I am looking for. Yes, I'd like to book a room.",Hotel-Inform,0
hotel,User: Can you help me find a hotel called Bridge Guest House?,Certainly! The Bridge Guest House is a moderately priced accomodation in the south. Is there other information you would like to know?,Hotel-Inform,1
hotel,Agent: There are over twenty four-star hotels or guesthouses. What area do you prefer? <SEP> User: An area that's close to public transportation <SEP> Agent: How about a and b guest house?,"Sure, as long as it is moderately priced.",Hotel-Inform,0
hotel,"Agent: I am sorry, there are not 5 stars available. <SEP> User: Well, I'm not sure what I should so. I guess I should go with the two star place. <SEP> Agent: How about a three star hotel? I have two that would match your description.",Do you have any 4 star guesthouses available instead?,Hotel-Inform,0
hotel,"User: Can you help me find a hotel called a and b guest house? <SEP> Agent: It is in the east, and moderately priced. Would you like to book a room?","Can I get the address and phone number, please?",Hotel-Request,0
hotel,"Agent: I have one listing for the cambridge belfry, the phone number is 01954714600. Would you like me to book you a room? <SEP> User: Yes I need to make a reservation for 4 people and 4 nights starting from Tuesday. <SEP> Agent: I'm sorry, there aren't any rooms available at the cambridge belfry. Would you like to try another hotel?","Yes, please find one that is close to it.",Hotel-Inform,0
hotel,"Agent: I believe I would like Worth house. <SEP> User: That`s fine. What is their address, please? <SEP> Agent: Worth House is located at 152 Chesterton Road. Would you like to make a reservation?",No thank you. Do they offer free parking?,Hotel-Request,0
hotel,User: I'm looking for a place to stay in the north side. <SEP> Agent: There are many guesthouses and hotels on the north side. Do you have any preferences?,I would like for the place to be 0 stars but has to include free wifi and free parking.,Hotel-Inform,0
hotel,"Agent: Do you have a price range that you are looking for? <SEP> User: I do not have a price range just need a hotel booked for 7 people. <SEP> Agent: I'd recommend the huntingdon marriott hotel. If you'd like, I can see if they have an availability. What day are you arriving?","We'll be arriving on Friday, and we'd like to stay for 2 nights.",Hotel-Inform,0
hotel,"User: Yes, please book it for 5 people and 3 nights, starting from Monday. <SEP> Agent: Booking was successful. Your reference number is : 7NWCZEP1 . <SEP> User: that is all, thank you",You're welcome. Enjoy your time in Cambridge.,general-bye,1
hotel,"User: Any chance you can direct me to where I can locate a cheap room for the night? <SEP> Agent: Sure, we have a lot of cheap places to stay. Is there an area of town that you prefer?","A guest house, with free parking, would be just the thing.",Hotel-Inform,0
hotel,"Agent: When will you be arriving and how many nights would you like to stay? How many people are in your party? <SEP> User: Can you book the hotel for 4 people, 3 nights on Thursday? <SEP> Agent: your booking was successful. your reference number is JCVMJBRZ .",Thanks for your help. That's all I needed.,general-thank,0
hotel,"Agent: There are 24 guest houses available. Is there a particular area of the city you'd prefer to stay in? <SEP> User: Yes, I'd like to stay in the centre of town please. <SEP> Agent: I have two options for you. Both offer free wifi and parking. The El Shaddai has no star rating or the Alexander B & B has a 4-star rating.",I'll take the El Shaddai please.,Hotel-Inform,0
hotel,"User: I want to book the el shaddai hotel. <SEP> Agent: No problem. Just give me a date, how many days, and how many people to accommodate please!",I am looking to book it for 4 nights for 5 people starting Tuesday.,Hotel-Inform,0
hotel,User: I am looking for information on a hotel. <SEP> Agent: Do you have a particular one in mind or any preference for where you stay or what amenities are offered?,I am looking for a hotel called the A and B Guest House.,Hotel-Inform,0
hotel,"Agent: I'd recommend the huntingdon marriott hotel. If you'd like, I can see if they have an availability. What day are you arriving? <SEP> User: We'll be arriving on Friday, and we'd like to stay for 2 nights. <SEP> Agent: Booking was successful. Reference number is : LXZ3ERL8 . Is there anything else I can assist you with?","No, that was everything. Thank you for the help.",general-thank,0
hotel,"Agent: Both of those hotels are completely booked up when trying to fit that criteria. Perhaps we can try different specifications? <SEP> User: Well, I'll have to see if I can shorten my stay then. Can you try for just 1 night? <SEP> Agent: Yes, I've booked you for 1 night at the Ashley Hotel.",Great. Can I have the reference number please?,Hotel-Request,0
hotel,"Agent: Unfortunately, I was unable to find you rooms for that length of stay beginning on Saturday. Would you be able to change the day, or the number of nights? <SEP> User: No, I really need it starting Saturday for 5 nights and with free wifi. <SEP> Agent: Ok. I have you booked into Warkworth House starting on Saturday for 5 nights and 6 people. The reference number is IGQB0HC7 . Is there anything else?","That's all, thank you.",general-thank,0
hotel,"User: I have heard a lot of good things about the Arbury Lodge Guesthouse. Would you be able to provide any information on them? <SEP> Agent: Yes, the arbury lodge guesthouse is in the north part of town in the moderate price range. It has parking and internet. Would you like to book a room? <SEP> User: No thank you. How many stars does it have? What is the postcode?","It has 4 stars, and the postcode is cb42je.",Hotel-Inform,1
hotel,User: Can you help me find a place to stay while in cambridge in the north that has free wifi? <SEP> Agent: We have about 12 different options for you. Do you have a preferred price range? Or do you prefer a hotel or guest house?,I would like one with 4 stars.,Hotel-Inform,0
hotel,"User: I am looking for information in Cambridge <SEP> Agent: Certainly! What information do you need to know? <SEP> User: I'm looking for a moderately priced hotel in the west, and I'll need WiFi while I am there",I would suggest this one the cambridge belfry.,Hotel-Recommend,1
hotel,User: I am looking for the price range of the hotel Finches bed and breakfast. <SEP> Agent: It is listed in the cheap price range. <SEP> User: Thank you. That's all I needed.,Would you like me to book you in?,Booking-Inform,1
hotel,"Agent: I apologize, but the hotel isn't available during that time frame. <SEP> User: could you please try one night <SEP> Agent: Booking was successful. Reference number is : 8DW9YAFR .","Great, thanks for your help.",general-thank,0
hotel,"Agent: I'm sorry there are no rooms available for that hotel for the nights you want, would you like me to try something else? <SEP> User: How about 1 night starting from Saturday? <SEP> Agent: That worked. Your reference number for the reservation is VDL0A0ID . Can I help you with anything else?",That's all I needed. Thanks.,general-thank,0
hotel,User: Great! I want to book it for 5 people and 3 nights starting from tuesday. <SEP> Agent: Booking was unsuccessful. Do you want to try a different day? <SEP> User: how about thursday?,Booking was successful. Reference number is : TFAJJNJF,Booking-Book,1
hotel,User: I live in the centre of town and want to see if I can find a reasonable room for my parents to stay while they are visiting. <SEP> Agent: How about the Alexander bed and breakfast in the centre? It is a cheap 4 star guesthouse with free internet and wifi. <SEP> User: That sounds like it might work. Could you check availability for two people this weekend?,"What day are they arriving, and how many nights are they staying?",Booking-Request,1
hotel,User: Hello. I am coming into town and would like help finding a play to stay. <SEP> Agent: I can definitely help with that. Let me find out some more information so I can find you the perfect fit. What area of town would you like to stay?,I am looking for a guesthouse with free parking,Hotel-Inform,0
hotel,"Agent: They're mostly Guesthouses, and one hotel. <SEP> User: Can I get more information on the hotel? <SEP> Agent: The hotel is express by holiday inn cambridge. It is in the east and in the expensive price range. It includes free internet and parking. Shall I book it?","No thanks, I actually have all the information I need. Thanks for your help!",general-thank,0
hotel,Agent: The Avalon doesn't have room for 5 nights starting Monday. How about a different day or a shorter stay? <SEP> User: Let's try 4 nights. <SEP> Agent: Avalon is available for four nights starting on Monday. Your reference number is 59GZA6ME . Can I do anything else for you?,"No, that's all I needed. Thanks for your help today!",general-thank,0
hotel,"Agent: The Cambridge belfry is a four star hotel in the cheap price range. Would you like me to book it for you? <SEP> User: Cambridge Belfry sounds great, can I get the reference number once you make that reservation? <SEP> Agent: What day do you want to start your stay, for how many days, and how many people?","4 people, 5 nights on saturday. If that's not available try a different one same price range.",Hotel-Inform,0
hotel,User: Are there any cheap hotels (not guesthouses) in town?,the cambridge belfry is a hotel located in the west and is cheap. Has 4 stars and free internet and parking.,Hotel-Inform,1
hotel,"User: I have heard a lot of good things about the Arbury Lodge Guesthouse. Would you be able to provide any information on them? <SEP> Agent: Yes, the arbury lodge guesthouse is in the north part of town in the moderate price range. It has parking and internet. Would you like to book a room?",No thank you. How many stars does it have? What is the postcode?,Hotel-Request,0
hotel,"Agent: I have four places with rooms in the south. 1 is cheap, 2 are moderate, and 1 is expensive. Do you have a particular price range? <SEP> User: I am looking for something in the moderate price range with free wifi and doesn't need to have free parking. <SEP> Agent: The Aylesbray Lodge Guesthouse and The Bridge Guesthouse are in the south area with a moderate price range and both have free wifi. Can I book one of these for you?","Yes, please. Either one sounds perfect!",Hotel-Request,0
hotel,User: A guesthouse is fine. I'm looking for a place in the north with free parking. <SEP> Agent: Acorn guest house is available if that works for you. <SEP> User: That's good. Can you book it for 3 people?,For how many days and starting what day?,Booking-Request,1
hotel,"Agent: There are 32 available hotels with free wifi, do you have any other requirements? <SEP> User: Do you have a one in the centre that is a 3 star? <SEP> Agent: The Gonville Hotel meets this criteria. Would you like me to make a reservation?",Is it a guesthouse?,Hotel-Inform,0
hotel,Agent: I have 3 hotels in the city that meet your request. Are you looking for a certain area of the city? <SEP> User: I need a hotel in the east. <SEP> Agent: I have A and B Guest House in the east. Does that sound good? I can help you book a room there if you'd like.,Yes that will be fine. Book the room for 8 and for 5 nights on wednesday.,Hotel-Inform,0
hotel,"Agent: I was able to book University Arms Hotel, reference number is VOF0UGNG . <SEP> User: Thank you, that's what I needed. <SEP> Agent: Is there anything else I can do for you today?",No thanks for all of your help and putting up with a pain like me!,general-thank,0
hotel,Agent: I'd be happy to make your reservation for you. When would you like to arrive and how many are in your party? <SEP> User: There are 3 of us and we're arriving on Thursday. We'd like to stay for 4 nights if possible. <SEP> Agent: Your reservation is all set. Your reference number is 89S3ZAGS .,Thank you. That's all I need today.,general-thank,0
hotel,Agent: Huntingdon Marriott Hotel is available in the west part of town and looks upscale. <SEP> User: Does it have a star of 4 and free parking? <SEP> Agent: Yes. Would you like to book a room?,"Yes, most likely. Can you provide me with the postcode of the hotel please?",Hotel-Request,0
hotel,"User: Can you find me a hotel on the east side? <SEP> Agent: Sure, there are 7 entries for the eastside, 1 hotel and 6 guesthouses. Are there any special amenities you need or a price range you're looking for?","A 4 star establishment, if possible.",Hotel-Inform,0
hotel,"Agent: I have 7 cheap 4 star guesthouses,can I recommend autumn house? <SEP> User: yes that sounds nice, can you check for booking for 5 people and 3 nights starting from monday? <SEP> Agent: Yes, I will book at autumn house for 3 night for 5 people starting Monday.",Can I get that reference number please?,Hotel-Request,0
hotel,Agent: I was able to book a guest house called Acom guest house. It is moderately priced and has internet and parking. Reference number is 0RA8Y7GS . Would that work for you? <SEP> User: Yes that's great. Thanks so much! <SEP> Agent: You're welcome! Have a great day!,Thanks again for your help,general-thank,0
hotel,"User: There wilI be 4 of us arriving on Saturday, and staying for 3 nights. <SEP> Agent: Wonderful. Your room has been booked for 3 nights. Your reference number is HH78SJFP . Is there anything else I can help with? <SEP> User: Not that is it thanks.",Thank you if you need any more help please let us know.,general-bye,1
hotel,Agent: There are none with that criteria in the area. Would you like to change the perimeters slightly and I shall try again? <SEP> User: How about just a place in the north with a 4 star rating? <SEP> Agent: Would you like a hotel or guest house?,A hotel with free wifi and parking on the north side.,Hotel-Inform,0
hotel,User: Hi! Are there any guesthouses in town that have free parking?,"Yes, indeed. We have more than 20. Do you have any additional preferences?",Hotel-Inform,1
hotel,"User: We'll arrive on Monday and stay 2 nights. There will be 8 of us. <SEP> Agent: You are all set at the Alexander B & B. Reference number M95XHCDT . Can I find anything else for you today? <SEP> User: Wonderful, thank you. I am all set. Bye.","Thank you, let us know if you need anything else. Good bye.",general-bye,1
hotel,"Agent: I was able to book El Shaddai for 2, for two nights starting Friday. Your reference number is X7WHA1XL . Is there anything else I can help you with? <SEP> User: No, that's fine. Thank you for your help. <SEP> Agent: The address of hotel El Shaddai is 41 warkworth street cb11eg and the phone number is 01223327978.",Have a nice day.,general-bye,0
hotel,"User: Can you find a hotel by the name of Leverton House? <SEP> Agent: Yes, I have found the Leverton House located in the east.","Great, can you book a room for people please? We would like 3 nights arriving on Sunday.",Hotel-Inform,0
hotel,"User: Hi, I'm looking for a place to stay with free wifi in the east part of town. <SEP> Agent: There are 6 guesthouses and 1 hotel that match your request. Would you like to add additional preferences to narrow your search?",Preferably something on the cheaper side.,Hotel-Inform,0
hotel,"Agent: I have one hotel that is expensive and in the south. May I book it for you? <SEP> User: Does this hotel include free parking? <SEP> Agent: Yes, all of the hotels that satisfy your constraints have free parking slots.","Ok, so pick one of them and book me there a room for 7 people for 2 nights starting on Tuesday please.",Hotel-Inform,0
hotel,User: I am looking for a place to stay. The hotel should be in the west and should be in the cheap price range <SEP> Agent: the cambridge belfry is a hotel in the west in the cheap price range. it has 4 stars and free internet and parking. will that work for you?,"no, I need a guesthouse.",Hotel-Inform,0
hotel,"Agent: Okay. What part of town will you be visiting? <SEP> User: The west part I need the address and phone number and zip. <SEP> Agent: It is called Hobsons house, it is on 96 Barton road. their number is 01223304906, cb39lh is their postcode.","Does that have free wifi and parking? If so, I'd like a reservation.",Hotel-Inform,0
hotel,Agent: What ever day you want. <SEP> User: I would like to book the room for friday for four nights. <SEP> Agent: Would you like the reference number?,"Yes, please provide the reference number.",Hotel-Request,0
hotel,"User: Yes, does it have free parking? <SEP> Agent: Yes, it does! Would you like to book a room? <SEP> User: Yes please. I'll need the address, postcode, and whether they have internet also.","Yes, the Allenbell has Internet. The address is 517a Coldham Lane and the postcode is cb13js. What are your travel details?",Hotel-Inform,1
hotel,"User: That sounds great! I need a reservation just for me for 5 nights starting on Thursday. <SEP> Agent: I have that booked, the reference number is LULJ5N6X . <SEP> User: Thank you that is all , bye bye.",You're welcome! Goodbye!,general-bye,1
hotel,"Agent: What is the price range you are looking to book in ? <SEP> User: what ever finches is listed at. I need the reference number after its booked please <SEP> Agent: Alright, How many people are staying, how many days do you want to stay, and what day to you want your stay to start?",I need it for 4 nights staring from Thursday for 6 people please.,Hotel-Inform,0
hotel,User: Just a guesthouse in the north with free parking. I'll need a reference number then too please. <SEP> Agent: I was able to get you in at Archway House. Your reference number is WUMUZ0JX . Can I help you with anything else? <SEP> User: That's all I need today. Thanks! Bye!,Thank you for using our system!,general-bye,1
hotel,"Agent: No I am sorry all that are available are guesthouses <SEP> User: Yes. Monday, two nights three people. <SEP> Agent: I'm sorry but there are no hotels available with those specifications. Would you like to look in a different area?",Do you have any of the guesthouses in the centre?,Hotel-Inform,0
hotel,"User: That's for 8 people and it's for 2 nights. <SEP> Agent: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay? <SEP> User: Could you try Wednesday, instead?",Booking was successful. Reference number is : 3H0WHD4Z .,Booking-Book,1
hotel,"Agent: How about the acorn guest house? It has free internet and parking, four stars and is in the moderate price range? Shall I book that for you? <SEP> User: No, can you just give me the address? <SEP> Agent: Sure, the address is 154 Chesterton Road and the postcode is cb41da.","Great, thanks. That is all I need. Bye.",general-bye,0
hotel,User: Another hotel in the same pricerange then? <SEP> Agent: I got you a room at the Gonville Hotel. Your reference number is: 0YB5M0HT . Is there anything else I can help you with today? <SEP> User: No that will be all. Thank you for all of your help.,You are welcome. Enjoy your stay.,general-welcome,1
hotel,"Agent: Sure, it is a moderately priced 4 star guesthouse located in the north. Free parking and internet. Would you like to make a booking? <SEP> User: Yes, please. There will be 2 of us staying for 4 nights, and we'll arrive on Sunday. <SEP> Agent: I booked you and your Reference number is : LKDT8R8B . Is there anything else?",That is great. Thanks.,general-thank,0
hotel,User: I am looking for a place to stay in the south. <SEP> Agent: There are 4 places in the south. 3 guesthouses and 1 hotel. Which would you prefer?,"I am looking to stay at a place with four stars, please.",Hotel-Inform,0
hotel,"User: Do you have information on the alpha-milton guest house? <SEP> Agent: The Alpha-Milton Guest House is a moderately priced 3 star guesthouse on the north end. The address is 63 milton road, postcode cb41xa. Their phone number is 01223311625.","Thank you very much for your help, goodbye.",general-bye,0
hotel,User: no. give me recommendation. <SEP> Agent: acorn guest house is a great location. <SEP> User: Is it expensive with free wifi?,It is moderately priced.,Hotel-Inform,1
hotel,User: Hello. I am looking for a hotel with free wifi and free parking. <SEP> Agent: I have 8 hotels with free wifi and parking. What price range would you like?,In the expensive price range please.,Hotel-Inform,0
hotel,"Agent: I will need to know the day you will be arriving, the amount of days and for how many people before making the reservation. <SEP> User: I'm sorry I don't need a reservation right now. Can you just tell me if they offer free parking? <SEP> Agent: Yes, Archway House offers free parking. May I help with something else?","Great, thanks. That is all I needed.",general-thank,0
hotel,Agent: Kirkwood house is a guesthouse located at 172 chesterton rd on the north side of town. Phone number is 01223306283 with free parking and wifi. Is there anything else? <SEP> User: Yes please. What is the price range? <SEP> Agent: It is moderate. Can I help further today?,"No, that was it. Thank you for the help.",general-thank,0
hotel,"User: yes, I suppose. <SEP> Agent: I checked all the different areas and there's still no matches. <SEP> User: No thank you that will be all","Ok great, have a wonderful day!",general-bye,1
hotel,"Agent: Great! When would you like to stay? <SEP> User: I would like to book a room for 3 days starting Tuesday. There is a total of 3 people. <SEP> Agent: Sorry, they don't have those dates available. Would you like me to try for other days or another location?",Can you try for just 1 night then?,Hotel-Inform,0
hotel,User: Do you have information on the alpha-milton guest house?,"The Alpha-Milton Guest House is a moderately priced 3 star guesthouse on the north end. The address is 63 milton road, postcode cb41xa. Their phone number is 01223311625.",Hotel-Inform,1
hotel,Agent: Do you have an area you prefer? <SEP> User: I would like to be in the west. <SEP> Agent: hobsons house meets your needs. Would you like to make a reservation?,"Sounds good. I need a booking for 5 people, 5 nights, starting wednesday.",Hotel-Inform,0
hotel,"User: I don't care about the number of stars. If you don't have one without parking, I'll take one with parking. Choose the best one, please. <SEP> Agent: I hear the Huntingdon Marriott Hotel is nice. Would you like to try booking there? <SEP> User: Yes. There will be 5 of us staying for 3 nights, arriving on Sunday. I sure hope Cambridge is nice this time of year.","Sorry, that's not available. Could you pick another day, time, or stay length?",Booking-NoBook,1
hotel,User: I'll definitely need something on the cheap side. <SEP> Agent: I have at least two properties matching your requirements and both are considered 4 star hotels. Would you like me to book one of them? <SEP> User: Are either of them located on the south side of the city?,"Yes, two of them are. Aylesbray lodge guest house and rose's bed and breakfast",Hotel-Inform,1
hotel,User: Can we make it 1 night then? <SEP> Agent: Booking was successful for one night. Reference number is : FJFV11JA . <SEP> User: Thank you for assisting me with that. I won't need anything else today.,Thank you for using our service.,general-bye,1
hotel,User: Good evening. Can you help me find a guesthouse to stay at for the weekend?,"acorn guest house is in the north part of town and available, when would you like to stay?",Hotel-Recommend,1
hotel,"User: Let's try the Allenbell. Could you make a reservation for 1 person, for 5 nights starting Wednesday? <SEP> Agent: No problem. Your reference number is GWQNWQXD . Anything else? <SEP> User: No, that's all I needed today. Thank you for your assistance!",Enjoy your stay! Goodbye!,general-bye,1
hotel,"User: Yes. I want to book it for 2 nights, 5 people starting on Friday. <SEP> Agent: The booking was successful, your reference code is 8090X905 . Do you want further assistance? <SEP> User: No that's all. Good bye!",Thank you goodbye!,general-bye,1
hotel,Agent: The the cambridge belfry is a hotel in the west part of town in the cheap price range. Would you like me to book a room for you? <SEP> User: I am looking for a cheap place to stay including free parking <SEP> Agent: The Cambridge Belfry is cheap and includes free parking and wifi. Would you like to book a room?,How many stars does it have? I'd like a cheap place in the west with 4 stars and free parking.,Hotel-Inform,0
hotel,"Agent: Would you like a hotel in the north or the centre? <SEP> User: The north. But I do need an actual hotel, no guestrooms. <SEP> Agent: I have two hotels available that meet that criteria. Would you like more information?","Yes, tell me about those.",Hotel-Inform,0
hotel,User: I am looking for an expensive 4 star hotel. <SEP> Agent: I am showing five hotels that fit your criteria. They all offer internet and parking. Is there a specific area you want to be in?,"No, but the hotel should be in the type of guesthouse.",Hotel-Inform,0
hotel,User: Can you check the availability at the University Arms Hotel for five people?,What day would you like to book?,Booking-Request,1
hotel,Agent: How about the carolina bed and breakfast? They have free wifi. I can book for you. <SEP> User: No. I may decide later. Could I get the address though. <SEP> Agent: The address is 138 perne road and the postcode is cb13nx. Is there anything else I can help you with today?,"No I think that will be all, thanks.",general-thank,0
